id,aircraft_registration,aircraft_model,aircraft_code,airline_id
0,N856RW,Embraer E170SE,E170,0.0
1,RA-02859,Embraer E170STD,E170,1.0
2,N806MD,Embraer E170LR,E170,2.0
3,N637RW,Embraer E170SE,E170,2.0
4,F-HBXG,Embraer E170STD,E170,3.0
5,N769KW,Embraer E170STD,E170,2.0
6,N645RW,Embraer E170SE,E170,2.0
7,N783LC,Embraer E170SU,E170,2.0
8,N779RN,Embraer E170LR,E170,2.0
9,RA-02864,Embraer E170SU,E170,1.0
10,N641RW,Embraer E170SE,E170,0.0
11,N762DT,Embraer E170STD,E170,2.0
12,SP-LDI,Embraer E170STD,E170,4.0
13,N774JG,Embraer E170SE,E170,2.0
14,SP-LDF,Embraer E170STD,E170,4.0
15,N638RW,Embraer E170SE,E170,0.0
16,N760MQ,Embraer E170STD,E170,2.0
17,N657RW,Embraer E170SE,E170,0.0
18,N826MD,Embraer E170LR,E170,2.0
19,N656RW,Embraer E170SE,E170,0.0
20,N778RH,Embraer E170SE,E170,2.0
21,N643RW,Embraer E170SE,E170,2.0
22,N979RP,Embraer E170SE,E170,0.0
23,N764JD,Embraer E170STD,E170,2.0
24,F-HBXA,Embraer E170STD,E170,3.0
25,N651RW,Embraer E170SE,E170,5.0
26,SP-LDH,Embraer E170STD,E170,
27,N154SY,Embraer E175LR,E75L,
28,N625UX,Embraer E175LL,E75L,0.0
29,N631QX,Embraer E175LR,E75L,6.0
30,N748YX,Embraer E175LR,E75L,0.0
31,N225NN,Embraer E175LR,E75L,2.0
32,N863RW,Embraer E170SE,E170,0.0
33,N862RW,Embraer E170SE,E170,0.0
34,N156SY,Embraer E175LR,E75L,0.0
35,N289MW,Embraer E175LR,E75L,2.0
36,N439YX,Embraer E175LR,E75L,2.0
37,N107SY,Embraer E175LR,E75L,0.0
38,N285SY,Embraer E175LR,E75L,7.0
39,N648QX,Embraer E175LR,E75L,6.0
40,N641QX,Embraer E175LR,E75L,6.0
41,N213NN,Embraer E175LR,E75L,2.0
42,N429YX,Embraer E175LR,E75L,2.0
43,N88346,Embraer E175LR,E75L,0.0
44,N265NN,Embraer E175LR,E75L,2.0
45,N203NN,Embraer E175LR,E75L,2.0
46,N624QX,Embraer E175LR,E75L,6.0
47,N277NN,Embraer E175LR,E75L,2.0
48,N205SY,,E75L,0.0
49,N85358,Embraer E175LR,E75L,0.0
50,N204SY,Embraer E175LR,E75L,0.0
51,N275NN,Embraer E175LR,E75L,2.0
52,N185SY,Embraer E175LR,E75L,6.0
53,N509SY,Embraer E175LR,E75L,2.0
54,N220JQ,,E75L,7.0
55,N440YX,,E75L,2.0
56,N87318,Embraer E175LR,E75L,0.0
57,N655QX,Embraer E175LR,E75L,6.0
58,N233NN,,E75L,2.0
59,N302RN,,E75L,2.0
60,N176SY,Embraer E175LR,E75L,6.0
61,N87337,,E75L,0.0
62,N278NN,,E75L,2.0
63,N316SY,Embraer E175LR,E75L,7.0
64,N267NN,,E75L,2.0
65,N299JJ,Embraer E175LR,E75L,2.0
66,N136SY,,E75L,0.0
67,N161SY,Embraer E175LR,E75L,0.0
68,N430SY,Embraer E175LR,E75L,6.0
69,N260NN,Embraer E175LR,E75L,2.0
70,N200NN,,E75L,2.0
71,N240NN,,E75L,2.0
72,N265SY,,E75L,7.0
73,N260SY,,E75L,7.0
74,N203SY,Embraer E175LR,E75L,0.0
75,N143SY,,E75L,0.0
76,N636QX,,E75L,6.0
77,N261SY,Embraer E175LR,E75L,7.0
78,N617UX,,E75L,0.0
79,N422YX,,E75L,2.0
80,N138SY,,E75L,0.0
81,N413YX,,E75L,2.0
82,N768YX,Embraer E175LR,E75L,0.0
83,N127HQ,,E75L,2.0
84,N255NN,Embraer E175LR,E75L,2.0
85,N762YX,,E75L,0.0
86,N82338,,E75L,0.0
87,N279SY,Embraer E175LR,E75L,7.0
88,N432YX,Embraer E175LR,E75L,2.0
89,N182SY,Embraer E175LR,E75L,6.0
90,N222NS,,E75L,2.0
91,N739YX,,E75L,0.0
92,N406SY,Embraer E175LR,E75L,6.0
93,N761YX,,E75L,0.0
94,N299SY,,E75L,7.0
95,N210NN,,E75L,2.0
96,N109SY,Embraer E175LR,E75L,0.0
97,N241NN,,E75L,2.0
98,N313SY,,E75L,7.0
99,N300LK,,E75L,2.0
100,N278SY,Embraer E175LR,E75L,7.0
101,N254NN,,E75L,2.0
102,N282SY,Embraer E175LR,E75L,7.0
103,N281NN,,E75L,2.0
104,N224NN,Embraer E175LR,E75L,2.0
105,N204NN,,E75L,2.0
106,N245NN,,E75L,2.0
107,N752YX,,E75L,0.0
108,N307SY,Embraer E175LR,E75L,7.0
109,N319SY,,E75L,7.0
110,N263NN,,E75L,2.0
111,N227JQ,Embraer E175LR,E75L,7.0
112,N741YX,,E75L,0.0
113,N304KM,Embraer E175LR,E75L,2.0
114,N303DD,,E75L,2.0
115,N729YX,,E75L,0.0
116,N519SY,Embraer E175LR,E75L,2.0
117,N288NN,Embraer E175LR,E75L,2.0
118,N163SY,,E75L,0.0
119,N725YX,,E75L,0.0
120,N322SY,,E75L,7.0
121,N85323,,E75L,0.0
122,N629QX,Embraer E175LR,E75L,6.0
123,N88325,,E75L,0.0
124,N751YX,,E75L,0.0
125,N728YX,,E75L,0.0
126,N213SY,,E75L,0.0
127,N606UX,,E75L,0.0
128,N241SY,,E75L,7.0
129,N87319,,E75L,0.0
130,N87353,Embraer E175LR,E75L,0.0
131,N291NN,Embraer E175LR,E75L,2.0
132,N517SY,Embraer E175LR,E75L,2.0
133,N139SY,,E75L,0.0
134,N286SY,,E75L,7.0
135,N749YX,,E75L,0.0
136,N750YX,,E75L,0.0
137,N122SY,,E75L,0.0
138,N661QX,,E75L,6.0
139,N108SY,Embraer E175LR,E75L,0.0
140,N206SY,,E75L,0.0
141,N290NN,,E75L,2.0
142,N441YX,,E75L,2.0
143,N451YX,,E75L,2.0
144,N662QX,,E75L,6.0
145,N311SY,Embraer E175LR,E75L,7.0
146,N639QX,,E75L,6.0
147,N229NN,,E75L,2.0
148,N208AN,,E75L,2.0
149,N657QX,,E75L,6.0
150,N620UX,,E75L,0.0
151,N767YX,,E75L,0.0
152,N193SY,,E75L,6.0
153,N413SY,,E75L,6.0
154,N416YX,,E75L,2.0
155,N244NN,,E75L,2.0
156,N88327,Embraer E175LR,E75L,0.0
157,N610UX,,E75L,0.0
158,N238NN,,E75L,2.0
159,N242NN,,E75L,2.0
160,N436YX,,E75L,2.0
161,N119SY,,E75L,0.0
162,N623UX,,E75L,0.0
163,N178SY,,E75L,6.0
164,N723YX,,E75L,0.0
165,N120SY,,E75L,0.0
166,N230NN,,E75L,2.0
167,N103SY,,E75L,0.0
168,N218NN,,E75L,2.0
169,N261NN,,E75L,
170,N602UX,,E75L,0.0
171,N106SY,,E75L,0.0
172,N428YX,,E75L,2.0
173,N312BT,Embraer E175LR,E75L,2.0
174,N132SY,,E75L,0.0
175,N259NN,Embraer E175LR,E75L,2.0
176,N221NN,Embraer E175LR,E75L,2.0
177,N764YX,,E75L,0.0
178,N283NN,,E75L,
179,N211SY,,E75L,0.0
180,N627QX,,E75L,6.0
181,N217NN,,E75L,2.0
182,N85320,,E75L,0.0
183,N89321,,E75L,0.0
184,N611UX,,E75L,0.0
185,N87345,,E75L,0.0
186,N742YX,,E75L,0.0
187,N256SY,,E75L,7.0
188,N191SY,,E75L,6.0
189,N231AN,,E75L,2.0
190,N164SY,,E75L,0.0
191,N274SY,,E75L,7.0
192,N425YX,,E75L,2.0
193,N651QX,Embraer E175LR,E75L,6.0
194,N226NN,,E75L,2.0
195,N287SY,,E75L,7.0
196,N409SY,,E75L,6.0
197,N504SY,,E75L,2.0
198,N243NN,,E75L,2.0
199,N302SY,,E75L,7.0
200,N732YX,,E75L,0.0
201,N255SY,,E75L,7.0
202,N290SY,,E75L,7.0
203,N442YX,,E75L,2.0
204,N80343,,E75L,0.0
205,N414SY,,E75L,6.0
206,N257NN,,E75L,2.0
207,N303SY,,E75L,7.0
208,N601UX,,E75L,0.0
209,N722YX,,E75L,0.0
210,N315SY,,E75L,7.0
211,N192SY,,E75L,6.0
212,N622UX,,E75L,0.0
213,N293NN,Embraer E175LR,E75L,2.0
214,N659QX,,E75L,6.0
215,N208SY,Embraer E175LR,E75L,
216,N730YX,,E75L,0.0
217,N506SY,Embraer E175LR,E75L,2.0
218,N175SY,,E75L,6.0
219,N765YX,,E75L,0.0
220,N515SY,,E75L,2.0
221,N745YX,,E75L,0.0
222,N407SY,,E75L,6.0
223,N284SY,,E75L,7.0
224,N403SY,,E75L,6.0
225,N257SY,,E75L,7.0
226,N285NN,,E75L,2.0
227,N268SY,,E75L,7.0
228,N86324,,E75L,0.0
229,N171SY,,E75L,6.0
230,N744YX,,E75L,0.0
231,N128SY,,E75L,0.0
232,N209SY,,E75L,0.0
233,N505SY,,E75L,2.0
234,N262NN,Embraer E175LR,E75L,2.0
235,N731YX,,E75L,0.0
236,N258NN,,E75L,2.0
237,N252NN,,E75L,2.0
238,N201NN,,E75L,2.0
239,N513SY,,E75L,2.0
240,N198SY,,E75L,6.0
241,N424YX,,E75L,2.0
242,N146SY,,E75L,0.0
243,N733YX,,E75L,0.0
244,N514SY,,E75L,2.0
245,N614UX,,E75L,0.0
246,N89315,,E75L,0.0
247,N280NN,,E75L,2.0
248,N86311,,E75L,0.0
249,N286NN,,E75L,2.0
250,N272SY,,E75L,7.0
251,N88328,,E75L,0.0
252,N152SY,,E75L,0.0
253,N84307,,E75L,0.0
254,N417YX,Embraer E175LR,E75L,2.0
255,N609UX,Embraer E175LL,E75L,0.0
256,N324SY,,E75L,7.0
257,N654QX,,E75L,6.0
258,N179SY,,E75L,6.0
259,N628QX,Embraer E175LR,E75L,6.0
260,N306SY,,E75L,7.0
261,N86347,,E75L,0.0
262,N236JQ,,E75L,7.0
263,N85352,,E75L,0.0
264,N246SY,,E75L,7.0
265,N283SY,,E75L,7.0
266,N309SY,,E75L,7.0
267,N507SY,,E75L,2.0
268,N642QX,,E75L,6.0
269,N227NN,,E75L,2.0
270,N410SY,,E75L,6.0
271,N174SY,,E75L,6.0
272,N612UX,,E75L,0.0
273,N252SY,,E75L,7.0
274,N205NN,,E75L,2.0
275,N269SY,,E75L,7.0
276,N223NN,,E75L,2.0
277,N88330,Embraer E175LR,E75L,0.0
278,N421YX,,E75L,
279,N181SY,,E75L,6.0
280,N225JQ,,E75S,7.0
281,N113HQ,,E75S,2.0
282,N222JQ,,E75S,7.0
283,N207JQ,,E75S,7.0
284,N211JQ,,E75S,7.0
285,N412YX,,E75S,2.0
286,N238JQ,,E75S,7.0
287,SP-LIK,,E75S,4.0
288,N132HQ,,E75S,2.0
289,SP-LIR,,E75S,4.0
290,N126HQ,,E75S,2.0
291,PH-EXX,,E75S,8.0
292,N117HQ,Embraer E175LR,E75S,2.0
293,SP-LIL,Embraer E175LR,E75S,4.0
294,N244JQ,,E75S,7.0
295,PH-EXZ,Embraer E175STD,E75S,8.0
296,N221JQ,,E75S,5.0
297,JY-EMC,,E75S,9.0
298,N115HQ,,E75S,2.0
299,N228JQ,,E75S,7.0
300,C-FEKJ,,E75S,10.0
301,C-FEJP,,E75S,10.0
302,N216JQ,,E75S,7.0
303,N404YX,,E75S,2.0
304,N409YX,,E75S,2.0
305,N402YX,,E75S,2.0
306,N410YX,,E75S,2.0
307,N234JQ,,E75S,7.0
308,N230JQ,,E75S,7.0
309,N104HQ,,E75S,5.0
310,C-FEJF,,E75S,10.0
311,N246JQ,,E75S,7.0
312,N610CZ,,E75S,7.0
313,N102HQ,,E75S,2.0
314,PH-EXL,,E75S,8.0
315,N224JQ,,E75S,7.0
316,N138HQ,,E75S,2.0
317,C-FEIQ,Embraer E175SU,E75S,10.0
318,PH-EXT,,E75S,8.0
319,N105HQ,,E75S,2.0
320,N116HQ,,E75S,2.0
321,N411YX,,E75S,2.0
322,N123HQ,,E75S,2.0
323,N232JQ,,E75S,7.0
324,SP-LID,,E75S,4.0
325,PH-EXJ,,E75S,8.0
326,PH-EXO,,E75S,8.0
327,N206JQ,,E75S,7.0
328,N201JQ,,E75S,7.0
329,PH-EXW,,E75S,8.0
330,C-FEJY,,E75S,11.0
331,HI1088,,E75S,12.0
332,N223JQ,,E75S,7.0
333,N109HQ,Embraer E175LR,E75S,2.0
334,N614CZ,,E75S,7.0
335,C-FRQM,,E75S,11.0
336,LV-CHO,,E190,13.0
337,N114HQ,Embraer E175LR,E75S,2.0
338,9H-NYC,,E190,
339,N306JB,,E190,14.0
340,ZS-YAD,,E190,15.0
341,JU-1812,,E190,16.0
342,YL-UAG,,E190,0.0
343,OH-LKR,Embraer E190LR,E190,17.0
344,N368JB,,E190,14.0
345,N348JB,,E190,14.0
346,N203JB,,E190,14.0
347,F-HBLK,,E190,3.0
348,9H-FAB,,E190,
349,N273JB,,E190,14.0
350,N231JB,,E190,14.0
351,D-AECE,,E190,18.0
352,SP-LMD,,E190,4.0
353,N328JB,,E190,14.0
354,XA-AEC,,E190,19.0
355,PH-EZF,,E190,8.0
356,N284JB,,E190,14.0
357,4K-AZ67,Embraer E190AR,E190,20.0
358,N323JB,,E190,14.0
359,N274JB,,E190,14.0
360,N307JB,,E190,14.0
361,F-HBLA,,E190,3.0
362,N355JB,,E190,14.0
363,HB-JVY,,E190,21.0
364,PH-EZC,,E190,8.0
365,N354JB,,E190,14.0
366,OH-LKH,,E190,17.0
367,VP-BHE,,E190,20.0
368,N229JB,,E190,14.0
369,F-HBLD,,E190,3.0
370,N206JB,,E190,14.0
371,XA-ACN,,E190,19.0
372,XA-DAC,,E190,19.0
373,XA-EAC,,E190,19.0
374,XA-GAK,,E190,19.0
375,N115BZ,,E190,22.0
376,N339JB,Embraer E190AR,E190,14.0
377,PH-EZZ,,E190,8.0
378,LV-CHS,Embraer E190AR,E190,13.0
379,OH-LKK,,E190,17.0
380,P4-BFE,,E190,23.0
381,HB-JVN,,E190,21.0
382,N228JB,,E190,14.0
383,XA-ACJ,Embraer E190LR,E190,19.0
384,F-HBLL,,E190,3.0
385,N283JB,,E190,14.0
386,YV2966,,E190,24.0
387,CS-TPT,,E190,25.0
388,N317JB,,E190,14.0
389,PH-EXY,,E190,8.0
390,LV-CDY,,E190,13.0
391,CS-TPZ,,E190,25.0
392,N337JB,,E190,14.0
393,LV-FPS,,E190,13.0
394,5Y-FFD,,E190,26.0
395,F-HBLB,Embraer E190LR,E190,3.0
396,CS-TPV,,E190,25.0
397,N236JB,,E190,14.0
398,XA-GAG,,E190,19.0
399,N358JB,,E190,14.0
400,VP-BRU,,E190,20.0
401,XA-AEP,,E190,19.0
402,LV-CMB,,E190,13.0
403,PH-EXC,,E190,8.0
404,PH-EXA,,E190,8.0
405,CS-TPO,,E190,25.0
406,4K-AZ64,,E190,20.0
407,F-HBLN,,E190,3.0
408,PH-EZU,,E190,8.0
409,PH-EXV,,E190,8.0
410,F-HBLH,,E190,3.0
411,XA-AEH,,E190,19.0
412,PH-EZT,Embraer E190STD,E190,8.0
413,XA-AEL,,E190,19.0
414,CS-TPX,,E190,25.0
415,5Y-FFA,,E190,26.0
416,LV-CMA,,E190,13.0
417,D-AZFA,,E190,27.0
418,5Y-FFB,Embraer E190AR,E190,26.0
419,XA-ACT,Embraer E190LR,E190,19.0
420,LV-CDZ,,E190,13.0
421,XA-AEN,,E190,19.0
422,XA-HAC,,E190,19.0
423,PH-EZW,,E190,8.0
424,D-AJHW,,E190,8.0
425,PH-EZA,,E190,8.0
426,XA-MAC,,E190,19.0
427,XA-ALW,,E190,19.0
428,CN-RGR,,E190,28.0
429,PH-EZV,,E190,8.0
430,XA-GAE,Embraer E190LR,E190,19.0
431,YV3071,,E190,24.0
432,N112BZ,,E190,22.0
433,N258JB,,E190,14.0
434,XA-JAC,,E190,19.0
435,SU-BVI,,E190,29.0
436,I-JEND,,E190,30.0
437,N375JB,,E190,14.0
438,OH-LKG,,E190,17.0
439,LV-CPI,,E190,13.0
440,CS-TPQ,,E190,25.0
441,D-APRI,,E190,8.0
442,D-AECD,,E190,18.0
443,XA-ALU,,E190,19.0
444,HB-JVO,,E190,21.0
445,HI1074,,E190,12.0
446,RA-02741,,E190,31.0
447,LV-GIQ,,E190,13.0
448,LV-CET,Embraer E190AR,E190,13.0
449,CN-RGQ,,E190,28.0
450,N304JB,Embraer E190AR,E190,14.0
451,XA-AEF,,E190,32.0
452,N281JB,,E190,14.0
453,N266JB,,E190,14.0
454,XA-AEO,Embraer E190LR,E190,19.0
455,LN-WEC,,E290,
456,HB-AZH,,E290,21.0
457,LN-WEB,,E290,33.0
458,SP-LNM,,E195,4.0
459,SP-LNO,,E195,4.0
460,ZS-YDC,,E195,15.0
461,SP-LNH,,E195,4.0
462,SE-RSI,,E195,34.0
463,PR-AUH,,E195,35.0
464,CS-TAX,,E195,25.0
465,N198BZ,,E195,22.0
466,PR-AUJ,,E195,35.0
467,CS-TAW,Embraer E195LR,E195,25.0
468,OE-LWA,,E195,36.0
469,SP-LNK,,E195,4.0
470,JY-EMA,,E195,9.0
471,N190BZ,,E195,22.0
472,PR-AXT,,E195,35.0
473,OY-GDC,,E195,37.0
474,OE-LWM,,E195,36.0
475,CS-TTZ,,E195,25.0
476,CS-TTX,,E195,25.0
477,OE-LWK,,E195,36.0
478,I-ADJV,,E195,18.0
479,PR-AXR,,E195,35.0
480,I-ADJS,,E195,30.0
481,I-JENB,,E195,30.0
482,PR-AUM,,E195,35.0
483,EW-399PO,,E195,38.0
484,PR-AUE,,E195,35.0
485,SE-RSP,Embraer E195LR,E195,34.0
486,I-ADJW,,E195,18.0
487,OE-LWN,Embraer E195LR,E195,36.0
488,PR-AXI,,E195,35.0
489,N140BZ,,E195,22.0
490,4O-AOB,,E195,39.0
491,PR-AXJ,,E195,35.0
492,PR-AYW,,E195,35.0
493,PR-AXG,,E195,35.0
494,N137BZ,Embraer E195LR,E195,22.0
495,PR-AXO,,E195,35.0
496,4X-EMF,,E195,40.0
497,CS-TTW,,E195,
498,OE-LWE,,E195,36.0
499,C-GZQM,,E295,41.0
500,C-GKQY,,E295,41.0
501,C-GKQR,,E295,41.0
502,C-GKQV,,E295,41.0
503,EC-NEZ,,E295,27.0
504,C-GZQK,,E295,41.0
505,EC-OEA,,E295,27.0
506,C-GKQZ,,E295,41.0
507,C-GKQN,Embraer E195-E2,E295,41.0
508,C-GKQX,,E295,41.0
509,C-GKQO,,E295,41.0
510,EC-NNV,,E295,27.0
511,PS-AEG,,E295,35.0
512,PS-AEI,,E295,35.0
513,PS-AEN,,E295,35.0
514,HB-AZK,,E295,42.0
515,C-GZQV,,E295,41.0
516,PH-NXP,,E295,8.0
517,PH-NXE,,E295,8.0
518,C-GZQF,,E295,41.0
519,PS-AEH,,E295,35.0
520,PH-NXA,,E295,8.0
521,OO-ETB,,E295,43.0
522,PH-NXI,,E295,8.0
523,PS-AEF,,E295,35.0
524,PS-AEB,,E295,35.0
525,PS-AEC,,E295,35.0
526,C-GZQB,Embraer E195-E2,E295,41.0
527,C-GKQT,Embraer E195-E2,E295,41.0
528,PH-NXG,,E295,8.0
529,5N-BYJ,,E295,44.0
530,PH-NXD,,E295,8.0
531,OO-ETA,,E295,43.0
532,PH-NXO,Embraer E195-E2,E295,8.0
533,PH-NXR,,E295,8.0
534,PS-AEM,,E295,35.0
535,HB-AZJ,,E295,
536,C-GKQQ,,E295,41.0
537,N808AE,,E135,45.0
538,N16525,,E135,45.0
539,N251JX,,E135,46.0
540,N16502,,E135,45.0
541,N403RW,,E135,
542,N257JX,,E135,46.0
543,N268JX,,E135,46.0
544,N530CN,,E135,45.0
545,N254JX,,E135,46.0
546,N640AE,,E145,2.0
547,N670AE,,E145,2.0
548,N244JX,,E145,46.0
549,N918JX,Embraer ERJ-145LR,E145,46.0
550,N947JX,,E145,46.0
551,N954JX,,E145,46.0
552,N958JX,,E145,46.0
553,ZS-MIF,,E145,47.0
554,N950JX,,E145,46.0
555,N914JX,,E145,46.0
556,VQ-TAB,,E145,48.0
557,N242JX,,E145,46.0
558,N972DC,,E145,49.0
559,N691AE,,E145,2.0
560,G-SAJF,,E145,50.0
561,N942LL,,E145,2.0
562,N650AE,,E145,51.0
563,ZS-FJA,,E145,52.0
564,N660CL,Embraer ERJ-145LR,E145,2.0
565,N653AE,Embraer ERJ-145LR,E145,2.0
566,N625AE,,E145,2.0
567,N961JX,,E145,46.0
568,N912JX,,E145,46.0
569,N685AE,Embraer ERJ-145LR,E145,2.0
570,N656AE,,E145,2.0
571,C6-GAR,,E145,53.0
572,N681AE,,E145,2.0
573,HK-5330,,E145,54.0
574,N825HK,,E145,
575,N937JX,,E145,46.0
576,9G-AEU,,E145,55.0
577,N245JX,,E145,46.0
578,N647AE,,E145,2.0
579,C6-PAM,,E145,53.0
580,N926JX,,E145,46.0
581,N683AE,,E145,2.0
582,N659AE,Embraer ERJ-145LR,E145,2.0
583,N672AE,,E145,2.0
584,XA-PFL,,E145,
585,N669MB,,E145,51.0
586,N971DC,,E145,49.0
587,N908AE,,E145,2.0
