airport_name,airport_iata,airport_icao,airport_latitude,airport_longitude,airport_region_name,airport_country_code,id
Sarasota-Bradenton International Airport,SRQ,KSRQ,27.3954,-82.5544,Florida,US,0
Tolmachevo Airport,OVB,UNNT,55.0126,82.6507,Novosibirskaya oblast',RU,1
Dallas/Fort Worth International Airport,DFW,KDFW,32.8968,-97.038,Texas,US,2
Chicago O'Hare International Airport,ORD,KORD,41.9786,-87.9047,Illinois,US,3
Newcastle Airport,NCL,EGNT,55.0375,-1.69167,England,GB,4
Greater Rochester International Airport,ROC,KROC,43.1189,-77.6724,New York,US,5
Toronto Pearson International Airport,YYZ,CYYZ,43.6797,-79.6227,Ontario,CA,6
Newark Liberty International Airport,EWR,KEWR,40.6925,-74.1686,New Jersey,US,7
Memphis International Airport,MEM,KMEM,35.0424,-89.9767,Tennessee,US,8
Zagreb Airport,ZAG,LDZA,45.7429,16.0688,Grad Zagreb,HR,9
Nashville International Airport,BNA,KBNA,36.1245,-86.6782,Tennessee,US,10
John Paul II International Airport Krakow-Balice,KRK,EPKK,50.0777,19.7848,Malopolskie,PL,11
Miami International Airport,MIA,KMIA,25.7932,-80.2906,Florida,US,12
Washington Dulles International Airport,IAD,KIAD,38.9445,-77.4558,Virginia,US,13
Kansas City International Airport,MCI,KMCI,39.2976,-94.7139,Missouri,US,14
Will Rogers World Airport,OKC,KOKC,35.3931,-97.6007,Oklahoma,US,15
LaGuardia Airport,LGA,KLGA,40.775,-73.875,New York,US,16
Lyon-Saint-Exupery Airport,LYS,LFLL,45.7256,5.08111,Auvergne-Rhone-Alpes,FR,17
Indianapolis International Airport,IND,KIND,39.7173,-86.2944,Gujarat,IN,18
Katowice International Airport,KTW,EPKT,50.4743,19.08,Slaskie,PL,19
San Francisco International Airport,SFO,KSFO,37.619,-122.375,California,US,20
Portland International Airport,PDX,KPDX,45.5887,-122.598,Oregon,US,21
Ronald Reagan Washington National Airport,DCA,KDCA,38.8522,-77.0378,Virginia,US,22
Spokane International Airport,GEG,KGEG,47.6199,-117.534,Washington,US,23
Seattle-Tacoma International Airport,SEA,KSEA,47.449,-122.309,Washington,US,24
George Bush Intercontinental Airport,IAH,KIAH,29.9844,-95.3414,Texas,US,25
Paine Field (Snohomish County Airport),PAE,KPAE,47.9063,-122.282,Washington,US,26
Austin-Bergstrom International Airport,AUS,KAUS,30.1945,-97.6699,Texas,US,27
Denver International Airport,DEN,KDEN,39.8617,-104.673,Colorado,US,28
Palm Springs International Airport,PSP,KPSP,33.8297,-116.507,California,US,29
Los Angeles International Airport,LAX,KLAX,33.9425,-118.408,California,US,30
Sioux Falls Regional Airport (Joe Foss Field),FSD,KFSD,43.582,-96.7419,South Dakota,US,31
Salt Lake City International Airport,SLC,KSLC,40.7884,-111.978,Utah,US,32
San Diego International Airport,SAN,KSAN,32.7336,-117.19,California,US,33
Boise Air Terminal (Gowen Field),BOI,KBOI,43.5644,-116.223,Idaho,US,34
General Mitchell International Airport,MKE,KMKE,42.9472,-87.8966,Wisconsin,US,35
Key West International Airport,EYW,KEYW,24.5561,-81.7596,Florida,US,36
Bob Hope Airport,BUR,KBUR,34.2007,-118.359,California,US,37
Jacksonville International Airport,JAX,KJAX,30.4941,-81.6879,Florida,US,38
Cleveland Hopkins International Airport,CLE,KCLE,41.4117,-81.8498,Ohio,US,39
Valley International Airport,HRL,KHRL,26.2285,-97.6544,Texas,US,40
El Paso International Airport,ELP,KELP,31.8072,-106.378,Texas,US,41
Brownsville/South Padre Island International Airport,BRO,KBRO,25.9068,-97.4259,Texas,US,42
Lambert-St. Louis International Airport,STL,KSTL,38.7487,-90.37,Missouri,US,43
Lafayette Regional Airport,LFT,KLFT,30.2053,-91.9876,Louisiana,US,44
McAllen Miller International Airport,MFE,KMFE,26.1758,-98.2386,Texas,US,45
Roberts Field,RDM,KRDM,44.2541,-121.15,Oregon,US,46
Logan International Airport,BOS,KBOS,42.3643,-71.0052,Massachusetts,US,47
Phoenix Sky Harbor International Airport,PHX,KPHX,33.4343,-112.012,Arizona,US,48
Huntsville International Airport (Carl T. Jones Field),HSV,KHSV,34.6372,-86.7751,Alabama,US,49
Savannah/Hilton Head International Airport,SAV,KSAV,32.1276,-81.2021,Georgia,US,50
Chicago Midway International Airport,MDW,KMDW,41.7861,-87.7525,Illinois,US,51
Quebec City Jean Lesage International Airport,YQB,CYQB,46.7911,-71.3933,Quebec,CA,52
Minneapolis-Saint Paul International Airport (Wold-Chamberlain Field),MSP,KMSP,44.882,-93.2218,Minnesota,US,53
Hartsfield-Jackson Atlanta International Airport,ATL,KATL,33.6367,-84.4281,Georgia,US,54
General Mariano Escobedo International Airport,MTY,MMMY,25.7785,-100.107,Nuevo Leon,MX,55
Louis Armstrong New Orleans International Airport,MSY,KMSY,29.9934,-90.258,Louisiana,US,56
Fairbanks International Airport,FAI,PAFA,64.8151,-147.856,Alaska,US,57
North Eleuthera Airport,ELH,MYEH,25.4749,-76.6835,Harbour Island,BS,58
Pittsburgh International Airport,PIT,KPIT,40.4915,-80.2329,Pennsylvania,US,59
Burlington International Airport,BTV,KBTV,44.4719,-73.1533,Vermont,US,60
Chattanooga Metropolitan Airport (Lovell Field),CHA,KCHA,35.0353,-85.2038,Tennessee,US,61
Fresno Yosemite International Airport,FAT,KFAT,36.7762,-119.718,California,US,62
The Eastern Iowa Airport,CID,KCID,41.8847,-91.7108,Iowa,US,63
Terrance B. Lettsome International Airport,EIS,TUPJ,18.4448,-64.543,"Virgin Islands, British",VG,64
Tulsa International Airport,TUL,KTUL,36.1984,-95.8881,Oklahoma,US,65
University of Illinois Willard Airport,CMI,KCMI,40.0392,-88.2781,Illinois,US,66
Colorado Springs Airport,COS,KCOS,38.8058,-104.701,Colorado,US,67
Reno-Tahoe International Airport,RNO,KRNO,39.4991,-119.768,Nevada,US,68
Hermanos Serdan International Airport,PBC,MMPB,19.1581,-98.3714,Puebla,MX,69
Greenville-Spartanburg International Airport,GSP,KGSP,34.8957,-82.2189,South Carolina,US,70
Hector International Airport,FAR,KFAR,46.9207,-96.8158,North Dakota,US,71
Gerald R. Ford International Airport,GRR,KGRR,42.8808,-85.5228,Michigan,US,72
Exuma International Airport,GGT,MYEF,23.5626,-75.878,Exuma,BS,73
Louisville International Airport (Standiford Field),SDF,KSDF,38.1744,-85.736,Kentucky,US,74
Eppley Airfield,OMA,KOMA,41.3032,-95.8941,Iowa,US,75
Missoula International Airport,MSO,KMSO,46.9163,-114.091,Montana,US,76
Harry Reid International Airport,LAS,KLAS,36.0801,-115.152,Nevada,US,77
Bozeman Yellowstone International Airport (Gallatin Field),BZN,KBZN,45.7775,-111.153,Montana,US,78
Raleigh-Durham International Airport,RDU,KRDU,35.8776,-78.7875,North Carolina,US,79
Des Moines International Airport,DSM,KDSM,41.534,-93.6631,Iowa,US,80
Grand Bahama International Airport,FPO,MYGF,26.5587,-78.6956,East Grand Bahama,BS,81
Hilton Head Airport,HHH,KHXD,32.2244,-80.6975,South Carolina,US,82
San Jose International Airport,SJC,KSJC,37.3626,-121.929,California,US,83
Jackson Hole Airport,JAC,KJAC,43.6073,-110.738,Wyoming,US,84
Tucson International Airport,TUS,KTUS,32.1161,-110.941,Arizona,US,85
Oakland International Airport,OAK,KOAK,37.7213,-122.221,California,US,86
Glacier Park International Airport,FCA,KGPI,48.3105,-114.256,Montana,US,87
Cincinnati/Northern Kentucky International Airport,CVG,KCVG,39.0488,-84.6678,Kentucky,US,88
Wichita Dwight D. Eisenhower National Airport,ICT,KICT,37.6499,-97.4331,Kansas,US,89
Philadelphia International Airport,PHL,KPHL,39.8719,-75.2411,Pennsylvania,US,90
Rzeszow-Jasionka Airport,RZE,EPRZ,50.11,22.019,Podlaskie,PL,91
Sofia Airport,SOF,LBSF,42.6967,23.4114,Sofia,BG,92
Nice Cote d'Azur Airport,NCE,LFMN,43.6584,7.21587,Provence-Alpes-Cote-d'Azur,FR,93
Dublin Airport,DUB,EIDW,53.4213,-6.27007,Dublin,IE,94
Marseille Provence Airport,MRS,LFML,43.4393,5.22142,Provence-Alpes-Cote-d'Azur,FR,95
Baghdad International Airport,BGW,ORBI,33.2625,44.2346,Baghdad,IQ,96
John Glenn Columbus International Airport,CMH,KCMH,39.998,-82.8919,Ohio,US,97
John F. Kennedy International Airport,JFK,KJFK,40.6397,-73.7789,New York,US,98
Duluth International Airport,DLH,KDLH,46.8421,-92.1936,Minnesota,US,99
Bristol Airport,BRS,EGGD,51.3827,-2.71909,England,GB,100
Norfolk International Airport,ORF,KORF,36.8946,-76.2012,Virginia,US,101
Aberdeen Airport,ABZ,EGPD,57.2019,-2.19778,Scotland,GB,102
Berlin Brandenburg Airport,BER,EDDB,52.3514,13.4939,Brandenburg,DE,103
Leeds Bradford Airport,LBA,EGNM,53.8659,-1.66057,England,GB,104
Sandefjord Airport,TRF,ENTO,59.1867,10.2586,Vestfold,NO,105
Westchester County Airport,HPN,KHPN,41.067,-73.7076,New York,US,106
Cardiff Airport,CWL,EGFF,51.3967,-3.34333,Wales,GB,107
Las Americas International Airport,SDQ,MDSD,18.4297,-69.6689,Monte Plata,DO,108
Geneva Airport,GVA,LSGG,46.2381,6.10895,Geneve,CH,109
Saint Helena Airport,HLE,FHSH,-15.9577,-5.64594,Saint Helena,SH,110
Al Maktoum International Airport,DWC,OMDW,24.8964,55.1614,Dubayy,AE,111
Helsinki Airport (Helsinki-Vantaa Airport),HEL,EFHK,60.3172,24.9633,Uusimaa,FI,112
Charlotte Douglas International Airport,CLT,KCLT,35.214,-80.9431,North Carolina,US,113
Southwest Florida International Airport,RSW,KRSW,26.5362,-81.7552,Florida,US,114
Malaga Airport,AGP,LEMG,36.6749,-4.49911,Andalucia,ES,115
Sharjah International Airport,SHJ,OMSJ,25.3286,55.5172,Ash Shariqah,AE,116
Frankfurt Airport,FRA,EDDF,50.0333,8.57056,Hessen,DE,117
Warsaw Chopin Airport,WAW,EPWA,52.1657,20.9671,Mazowieckie,PL,118
Buffalo Niagara International Airport,BUF,KBUF,42.9405,-78.7322,New York,US,119
Mexico City International Airport,MEX,MMMX,19.4363,-99.0721,Mexico,MX,120
Trondheim Airport,TRD,ENVA,63.4578,10.924,Nord-Trondelag,NO,121
Cancun International Airport,CUN,MMUN,21.0365,-86.8771,Quintana Roo,MX,122
Kazan International Airport,KZN,UWKD,55.6062,49.2787,"Tatarstan, Respublika",RU,123
Orlando International Airport,MCO,KMCO,28.4294,-81.309,Florida,US,124
Paris Charles de Gaulle Airport,CDG,LFPG,49.0097,2.54778,Ile-de-France,FR,125
Zurich Airport,ZRH,LSZH,47.4647,8.54917,Zurich,CH,126
Bologna Guglielmo Marconi Airport,BLQ,LIPE,44.5354,11.2887,Emilia-Romagna,IT,127
Esenboga International Airport,ESB,LTAC,40.1281,32.9951,Ankara,TR,128
Goteborg Landvetter Airport,GOT,ESGG,57.6628,12.2798,Vastra Gotalands lan,SE,129
Carlos Rovirosa Perez International Airport,VSA,MMVA,17.997,-92.8174,Tabasco,MX,130
Bachigualato Federal International Airport,CUL,MMCL,24.7645,-107.475,Sinaloa,MX,131
John Wayne Airport (Orange County Airport),SNA,KSNA,33.6757,-117.868,California,US,132
Poznań–Ławica Henryk Wieniawski Airport,POZ,EPPO,52.421,16.8263,Wielkopolskie,PL,133
Astor Piazzolla International Airport,MDQ,SAZM,-37.9342,-57.5733,Buenos Aires,AR,134
Oslo Airport,OSL,ENGM,60.1939,11.1004,Akershus,NO,135
Blaise Diagne International Airport,DSS,GOBD,14.67,-17.0733,Thies,SN,136
Francisco Sarabia International Airport,TRC,MMTC,25.5683,-103.411,Coahuila de Zaragoza,MX,137
Venice Marco Polo Airport,VCE,LIPZ,45.5053,12.3519,Veneto,IT,138
Santiago Marino Caribbean International Airport,PMV,SVMG,10.9126,-63.9666,Nueva Esparta,VE,139
Adolfo Suarez Madrid-Barajas Airport,MAD,LEMD,40.4719,-3.56264,"Madrid, Comunidad de",ES,140
Palm Beach International Airport,PBI,KPBI,26.6832,-80.0956,Florida,US,141
Aeroparque Internacional Jorge Newbery,AEP,SABE,-34.5589,-58.4164,Buenos Aires,AR,142
Abeid Amani Karume International Airport,ZNZ,HTZA,-6.22202,39.2249,Mjini Magharibi,TZ,143
Manchester Airport,MAN,EGCC,53.3537,-2.27495,England,GB,144
Heydar Aliyev International Airport,GYD,UBBB,40.4675,50.0467,Baki,AZ,145
Ministro Pistarini International Airport,EZE,SAEZ,-34.8222,-58.5358,Buenos Aires,AR,146
Hannover Airport,HAJ,EDDV,52.4611,9.68508,Niedersachsen,DE,147
Aalborg Airport,AAL,EKYT,57.0928,9.84924,Nordjylland,DK,148
Bilbao Airport,BIO,LEBB,43.3011,-2.91061,Pais Vasco,ES,149
Seville Airport,SVQ,LEZL,37.418,-5.89311,Andalucia,ES,150
Billund Airport,BLL,EKBI,55.7403,9.15178,Syddanmark,DK,151
Lisbon Portela Airport,LIS,LPPT,38.7813,-9.13592,Lisboa,PT,152
Entebbe International Airport,EBB,HUEN,0.042386,32.4435,Kampala,UG,153
Toulouse-Blagnac Airport,TLS,LFBO,43.6291,1.36382,Occitanie,FR,154
Julius Nyerere International Airport,DAR,HTDA,-6.87811,39.2026,Dar es Salaam,TZ,155
Manuel Marquez de Leon International Airport,LAP,MMLP,24.0727,-110.362,Baja California Sur,MX,156
Lic. Jesus Teran Peredo International Airport,AGU,MMAS,21.7056,-102.318,Aguascalientes,MX,157
Ponciano Arriaga International Airport,SLP,MMSP,22.2543,-100.931,San Luis Potosi,MX,158
Gdansk Lech Walesa Airport,GDN,EPGD,54.3776,18.4662,Pomorskie,PL,159
Southampton Airport,SOU,EGHI,50.9503,-1.3568,England,GB,160
Bordeaux-Merignac Airport,BOD,LFBD,44.8283,-0.715556,Nouvelle-Aquitaine,FR,161
Bahias de Huatulco International Airport,HUX,MMBT,15.7753,-96.2626,Oaxaca,MX,162
Ciudad Obregon International Airport,CEN,MMCN,27.3926,-109.833,Sonora,MX,163
Birmingham Airport,BHX,EGBB,52.4539,-1.74803,England,GB,164
Queretaro Intercontinental Airport,QRO,MMQT,20.6173,-100.186,Queretaro,MX,165
Grantley Adams International Airport,BGI,TBPB,13.0746,-59.4925,Christ Church,BB,166
Richmond International Airport,RIC,KRIC,37.5052,-77.3197,Virginia,US,167
Cairo International Airport,CAI,HECA,30.1219,31.4056,Al Qahirah,EG,168
Milan-Malpensa Airport,MXP,LIMC,45.6306,8.72811,Lombardia,IT,169
Dusseldorf Airport,DUS,EDDL,51.2895,6.76678,Nordrhein-Westfalen,DE,170
